VariableName	Importance
chl_mean_depthsurf.tif	6
clt_mean_depthsurf.tif	3
dfe_mean_depthsurf.tif	11
mlotst_mean_depthsurf.tif	5
no3_mean_depthsurf.tif	8
o2_mean_depthsurf.tif	13
ph_mean_depthsurf.tif	7
phyc_mean_depthsurf.tif	9
po4_mean_depthsurf.tif	4
si_mean_depthsurf.tif	12
so_mean_depthsurf.tif	22
static_kdpar_mean_mean.tif	2
static_par_mean_mean.tif	19
sws_mean_depthsurf.tif	24
tas_mean_depthsurf.tif	17
terrain_characteristics_aspect.tif	23
terrain_characteristics_bathymetry.tif	1
terrain_characteristics_ruggedness.tif	16
terrain_characteristics_slope.tif	15
terrain_characteristics_tpi.tif	20
thetao_max_depthsurf.tif	21
thetao_mean_depthmax.tif	10
thetao_mean_depthsurf.tif	18
thetao_min_depthsurf.tif	14
