VariableName	Importance
chl_mean_depthsurf.tif	1
clt_mean_depthsurf.tif	17
dfe_mean_depthsurf.tif	11
mlotst_mean_depthsurf.tif	6
no3_mean_depthsurf.tif	8
o2_mean_depthsurf.tif	16
ph_mean_depthsurf.tif	12
phyc_mean_depthsurf.tif	3
po4_mean_depthsurf.tif	13
si_mean_depthsurf.tif	4
so_mean_depthsurf.tif	14
static_kdpar_mean_mean.tif	18
static_par_mean_mean.tif	21
sws_mean_depthsurf.tif	20
tas_mean_depthsurf.tif	15
terrain_characteristics_aspect.tif	19
terrain_characteristics_bathymetry.tif	2
terrain_characteristics_ruggedness.tif	22
terrain_characteristics_slope.tif	23
terrain_characteristics_tpi.tif	24
thetao_max_depthsurf.tif	9
thetao_mean_depthmax.tif	10
thetao_mean_depthsurf.tif	7
thetao_min_depthsurf.tif	5
