gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891771485	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/475618	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.128824	-123.718425	5.0						2013-11-29T15:57:09	29	11	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	475618		Chris Brown	2013-12-04T17:54:10	CC_BY_NC_4_0	Chris Brown	Chris Brown			2025-06-25T02:50:20.324Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891771426	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/474916	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.940333	-123.729863	5.0						2013-12-03T11:10:57	3	12	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	474916		Ken-ichi Ueda	2013-12-04T03:59:48	CC0_1_0	Ken-ichi Ueda	Ken-ichi Ueda			2025-06-25T02:50:20.042Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891756040	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/442363	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.96384	-121.897735	465.0						2013-10-27	27	10	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	442363		James Maughn	2013-10-28T03:35:34	CC_BY_NC_4_0	James Maughn	James Maughn			2025-06-25T01:25:54.822Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891748130	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/419760	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.533562	-121.085134	26.0						2013-10-05T17:14:27	5	10	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	419760		Gena Bentall	2013-10-06T15:34:44	CC_BY_NC_4_0	Gena Bentall	Gena Bentall			2025-06-25T03:45:54.411Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891730957	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/375566	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.712685	-122.502991	17.0						2013-08-24T09:50:47	24	8	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	375566		Rebecca Johnson	2013-08-24T16:51:58	CC_BY_NC_4_0	Rebecca Johnson	Rebecca Johnson			2025-06-25T02:50:08.807Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891166259	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/302311	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.23774	-121.81632	214.0						2013-06-13	13	6	2013	4267628	4267628	HUMAN_OBSERVATION	iNaturalist	Observations	302311		Chris Brown	2013-06-17T17:58:58	CC_BY_NC_4_0	Janan Kerry	Janan Kerry			2025-06-25T02:13:07.372Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
857015094	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:98408_902899_0	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana (Mertens) Postels & Ruprecht		US	Breakwater Beach		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	36.6002	-121.895	100.0		0.0	0.0	6.095	6.095	2013-10-12T11:20Z	12	10	2013	4267628	4267628	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:98408_902899_0		Matt Graham	2013-10-12T00:00:00	CC_BY_NC_4_0	Diveboard	Matt Graham			2025-01-31T21:31:28.225Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5181204091	58ffefab-20aa-4cec-b0c0-dd7330ed7280	ARN_2010-06-11_2010-06-11_168	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US	Point Arena	California	PRESENT		c3ad790a-d426-4ac1-8e32-da61f81f0117	38.955502	-123.7413	350.0				0.0	0.0	2010-06-11	11	6	2010	4267628	4267628	HUMAN_OBSERVATION							CC_BY_4_0					2025-06-17T23:24:41.352Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND
5181194427	58ffefab-20aa-4cec-b0c0-dd7330ed7280	WIN_2010-07-12_2010-07-12_168	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US	Windermere Point	California	PRESENT		c3ad790a-d426-4ac1-8e32-da61f81f0117	38.523941	-123.26747	350.0				0.0	0.0	2010-07-12	12	7	2010	4267628	4267628	HUMAN_OBSERVATION							CC_BY_4_0					2025-06-17T23:24:38.552Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND
5181174480	58ffefab-20aa-4cec-b0c0-dd7330ed7280	STO_2007-05-19_2007-05-19_168	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Nereocystis	Nereocystis luetkeana		SPECIES	Nereocystis luetkeana (K.Mertens) Postels & Ruprecht	Nereocystis luetkeana		US	Stornetta	California	PRESENT		c3ad790a-d426-4ac1-8e32-da61f81f0117	38.93787	-123.7288	350.0				0.0	0.0	2007-05-19	19	5	2007	4267628	4267628	HUMAN_OBSERVATION							CC_BY_4_0					2025-06-17T23:24:32.686Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND
